id,title,released,developer,publisher,released_on
384,"Bodyworks Voyager - Mission in Anatomy",1994,"Mythos Software","Software Marketing Corporation",1994-01-01
385,"Bolo Adventures I","","","",
386,"Bolo Adventures II","","","",
387,"Bolo Adventures III","","","",
388,"Bolo Ball",1987/1994,"Application Systems Heidelberg","Dongleware Verlags",
389,Bomber,1993,"Patrick Pich","",1993-01-01
390,Bomberman,1992,"Hudson Soft",Ubisoft,1992-01-01
391,Bombuzal,1988,"Image Works","Image Works, Kemco",1988-01-01
392,"Bomb'X","","","",
393,"Boot Camp",1989,Konami,Konami,1989-01-01
394,"Bop'N Wrestle","","","",
395,"Boppin'",1994,"Accursed Toys","Apogee Software",1994-01-01
396,"Border Zone",1987,Infocom,Infocom,1987-01-01
397,"Borrowed Time",1985,Activision,"Interplay Entertainment",1985-01-01
398,"Boston Bomb Club","","","",
399,"Boulder Dash",1984,"First Star Software","First Star Software",1984-01-01
400,"Boulderdash II: Rockford's Revenge",1985,"First Star Software","First Star Software",1985-01-01
401,"Boulder Dash Construction Kit",1986,"First Star Software","First Star Software",1986-01-01
402,"Bouncing Babies",1984,"Dave Baskin","Dave Baskin",1984-01-01
403,"Boxer Rebellion","","","",
404,Boxzum,"","","",
405,"Braindead 13",1995,ReadySoft,ReadySoft,1995-01-01
406,"Brainies, The",1996,"Titus Software","Titus Software",1996-01-01
407,"Bram Stoker's Dracula",1993,"Psygnosis, Traveller's Tales","Sony Imagesoft",1993-01-01
408,Brandish,1994,"Nihon Falcom","Nihon Falcom",1994-01-01
409,"Brandish 2: The Planet Buster",1995,"Nihon Falcom","Nihon Falcom",1995-01-01
410,Breach,"","","",
411,"Breach 2",1990,"Omnitrend Software","Impressions Games",1990-01-01
412,"Breach 3","","","",
413,Breakers,"","","",
414,Breakfree,"","","",
415,Breakthru!,1994,"ZOO Corporation","Spectrum Holobyte",1994-01-01
416,"Brett Hull Hockey 95",1995,"Accolade Inc.","Accolade Inc.",1995-01-01
417,Bricks,"","","",
418,"Bridge Deluxe 2 with Omar Sharif","","","",
419,"Bridge Master","","","",
420,"Bridge Olympiad","","","",
421,Brimstone,"","","",
422,Brix,1992,"Michael Riedel","Epic MegaGames",1992-01-01
423,"Broken Sword: The Shadow of the Templars",1996,"Revolution Software","Virgin Interactive",1996-01-01
424,"Bruce Lee",1984,Datasoft,Datasoft,1984-01-01
425,"Bruce Lee Lives: The Fall of Hong Kong Palace",1989,"Software Toolworks","Software Toolworks",1989-01-01
426,"Brudal Baddle","","","",
427,"Brutal: Paws of Fury",1994,"GameTek, Eurocom",GameTek,1994-01-01
428,"Brutal Sports Football",1993,"Teque Software Development","Millennium Interactive",1993-01-01
429,"Bubble Bobble",1989,Taito,Taito,1989-01-01
430,"Bubble Dizzy",1990,"The Oliver Twins",Codemasters,1990-01-01
431,"Bubble Ghost",1987,Infogrames,"ERE Informatique, Infogrames, Accolade Inc., Pony Canyon",1987-01-01
432,"Buck Rogers: Countdown to Doomsday",1990,"Strategic Simulations","Strategic Simulations",1990-01-01
433,"Buck Rogers: Matrix Cubed",1992,"Strategic Simulations","Strategic Simulations",1992-01-01
434,"Buck Rogers: Planet of Zoom",1984,Sega,Sega,1984-01-01
435,"Budokan: The Martial Spirit",1989,"Electronic Arts","Electronic Arts",1989-01-01
436,"Bugs Bunny Hare-Brained Adventure, The","","","",
437,"Bully's Sporting Darts","","","",
438,"Bumble Games","","","",
439,"Bumble Plot","","","",
440,"Bumpy's Arcade Fantasy","","","",
441,"Bundesliga Manager Professional","","","",
442,"Bunny Bricks","","","",
443,"Bureau 13","","","",
444,Bureaucracy,1987,Infocom,Infocom,1987-01-01
445,BurgerTime,1982,"Data East","Data East",1982-01-01
446,"Burn: Cycle","","","",
447,"Burnout: Championship Drag Racing","","","",
448,Burntime,1993,"Max Design","Max Design",1993-01-01
449,"BushBuck Charms, Viking Ships & Dodo Eggs",1991,Reckon,"PC Globe",1991-01-01
450,Bushido,"","","",
451,"Buzz Aldrin's Race into Space",1993,"Strategic Visions","Interplay Entertainment",1993-01-01
452,"By Fire and Sword",1984,"Avalon Hill","Avalon Hill",1984-01-01
453,Cabal,1988,"Tad Corporation",Capcom,1988-01-01
454,Cadaver,1990,"Bitmap Brothers","Image Works",1990-01-01
455,"Cadaver: The Payoff",1990,"Bitmap Brothers","Image Works",1990-01-01
456,"Cadillacs and Dinosaurs: The Second Cataclysm",1994,"Rocket Science Games","Sega, BMG Interactive Entertainment",1994-01-01
457,Caesar,1992,"Impressions Games","Sierra Entertainment",1992-01-01
458,"Caesar II",1995,"Impressions Games","Sierra Entertainment",1995-01-01
459,"California Games",1987,Epyx,Epyx,1987-01-01
460,"California Games 2",1993,Epyx,Epyx,1993-01-01
461,"California Raisins, The",1988,"Starsoft Development Laboratories","Box Office",1988-01-01
462,Campaign,1992,"Empire Interactive","Empire Interactive",1992-01-01
463,"Campaign II",1993,"Empire Interactive","Empire Interactive",1993-01-01
464,"Cannon Fodder",1993,"Sensible Software","Virgin Interactive",1993-01-01
465,"Cannon Fodder 2",1994,"Sensible Software","Virgin Interactive",1994-01-01
466,Capitalism,1995,Enlight,"Interactive Magic",1995-01-01
467,"Capitalism Plus",1996,Enlight,"Interactive Magic",1996-01-01
468,"Captain Bible in Dome of Darkness",1994,"Bridgestone Multimedia Group","Bridgestone Multimedia Group",1994-01-01
469,"Captain Blood",1988,Exxos,Infogrames,1988-01-01
470,"Captain Comic II: Fractured Reality",1990,"Michael Denio",ComputerEasy,1990-01-01
471,"Captain Dynamo",1993,Codemasters,Codemasters,1993-01-01
472,"Captain Power and the Soldiers of the Future","","","",
473,"Captain Zins","","","",
474,Captive,1990,Mindscape,Mindscape,1990-01-01
475,"Capture the Flag","","","",
476,"Car Builder","","","",
477,"Cardinal of the Kremlin, The",1990,"Capstone Software",IntraCorp,1990-01-01
478,"Car & Driver",1992,"Looking Glass Studios","Electronic Arts",1992-01-01
479,"Card Sharks",1988,Softie,ShareData,1988-01-01
480,"Cargo Bay Deluxe","","","",
481,"Caribbean Disaster","","","",
482,"Carl Lewis Challenge, The","","","",
483,"Carlos Sainz","","","",
484,Carmageddon,1997,"Stainless Software Ltd.",SCi,1997-01-01
485,"Carmageddon Max Pack",1997,"Stainless Software Ltd.",SCi,1997-01-01
486,"Carmageddon Splat Pack",1997,"Stainless Software Ltd.",SCi,1997-01-01
487,Carnage,"","","",
488,"Carrier Command",1989,"Realtime Games","Rainbird Software",1989-01-01
489,"Carriers at War",1991,"Strategic Studies Group","Strategic Studies Group",1991-01-01
490,"Carriers at War II",1993,"Strategic Studies Group","Strategic Studies Group",1993-01-01
491,"Carrier Strike","","","",
492,"Cartels and Cutthroats","","","",
493,Cartooners,"","","",
494,"CART Racing","","","",
495,"Case of the Cautious Condor, The",1992,"Tiger Media","Airwave Adventure",1992-01-01
496,"Cash Invaders","","","",
497,"Casino Games","","","",
498,"Castaway - The Ordeal Begins",1995,"John Gallon","John Gallon",1995-01-01
499,"Castle Master",1990,"Teque Software Development","Incentive Software, Domark",1990-01-01
500,"Castle Master 2: The Crypt",1991,"Teque Software Development","Incentive Software, Domark",1991-01-01
501,"Castle of Dr. Brain",1991,"Sierra Online","Sierra Online",1991-01-01
502,Castles,1991,"Quicksilver Software","Interplay Productions",1991-01-01
503,"Castles: The Northern Campaign",1992,"Quicksilver Software","Interplay Productions",1992-01-01
504,"Castles II: Siege and Conquest",1995,"Quicksilver Software","Interplay Entertainment",1995-01-01
505,Castlevania,1990,"Distinctive Software",Konami,1990-01-01
506,"Castle Wolfenstein",1984,"Muse Software","Muse Software",1984-01-01
507,Catacomb,1991,Softdisk,Softdisk,1991-01-01
508,"Catacomb II",1990,"PC Arcade","Verbatim PC disk",1990-01-01
509,"Catacomb 3-D",1991,"id Software","Gamer's Edge, Softdisk",1991-01-01
510,"Catacomb Abyss",1992,"Gamer's Edge",Softdisk,1992-01-01
511,"Catacomb Armageddon",1992,Softdisk,Froggman,1992-01-01
512,"Catacomb Apocalypse",1993,Softdisk,Froggman,1993-01-01
513,"Catch 'Em","","","",
514,Catfight,1996,"Phantom Card","Atlantean Interactive",1996-01-01
515,"Caveman Ughlympics",1988,Dynamix,"Electronic Arts",1988-01-01
516,Cavequest,"","","",
517,"Caverns of Kroz",1987,"Scott Miller","Apogee Software",1987-01-01
518,"Caverns of Xaskazien",1995,"Jeff Sinasac","",1995-01-01
519,"Caverns of Zoarre",1984-09-22,"Erik I. Bolsos","",1984-09-22
520,Cavewars,1996-11-30,"Broken Arrow Entertainment","Avalon Hill",1996-11-30
521,CD-Man,1992,"Scandinavian PC Systems","Creative Dimensions",1992-01-01
522,C-Dogs,1997,"Ronny Wester","Ronny Wester",1997-01-01
523,"Celtic Legends",1991,Ubisoft,Ubisoft,1991-01-01
524,"Celtic Tales - Balor of the Evil Eye","","","",
525,"Centerfold Squares","","","",
526,Centipede,1983,Atari,Atari,1983-01-01
527,"Central Intelligence","","","",
528,"Centurion: Defender of Rome",1990,"Bits of Magic","Electronic Arts",1990-01-01
529,C.E.O.,1995,"Artdink Corporation",Infogrames,1995-01-01
530,Chagunitzu,1990,"Keith Schuler",Softdisk,1990-01-01
531,"Challenge of the Ancient Empires",1990,"The Learning Company","The Learning Company",1990-01-01
532,"Challenge of the Five Realms",1992,MicroProse,MicroProse,1992-01-01
533,"CHAMP Asterocks",1997-02-07,CHAMProgramming,"",1997-02-07
534,"CHAMP Centiped-em",1997-01-14,CHAMProgramming,"",1997-01-14
535,"CHAMP Galagon",1997-11-06,CHAMProgramming,"",1997-11-06
536,"CHAMP Galaxia",1996-07-03,CHAMProgramming,"",1996-07-03
537,"CHAMP Invaders",1997-08-06,CHAMProgramming,"",1997-08-06
538,"CHAMP Kong",1996-02-13,CHAMProgramming,"",1996-02-13
539,"CHAMP Ms. Pac-em",1996-04-14,CHAMProgramming,"",1996-04-14
540,"CHAMP Pac-em",1996-06-06,CHAMProgramming,"",1996-06-06
541,"Championship Baseball",1986,Gamestar,Activision,1986-01-01
542,"Championship Lode Runner",1984,"Brøderbund","Brøderbund",1984-01-01
543,"Championship Manager",1992,Intelek,Domark,1992-01-01
544,"Championship Manager 93/94",1993,"Sports Interactive",Domark,1993-01-01
545,"Championship Manager: End of Season Edition",1994,"Abersoft Limited, Intelek",Domark,1994-01-01
546,"Championship Manager 2",1995,"Sports Interactive","Eidos Interactive",1995-01-01
547,"Championship Manager 2: Scandinavian Leagues",1997,"Sports Interactive, CompuGames Software","Eidos Interactive, CompuGames Software",1997-01-01
548,"Championship Manager 96/97",1996,"Sports Interactive, Eidos Interactive","Eidos Interactive",1996-01-01
549,"Championship Manager: Season 97/98",1997,"Sports Interactive","Eidos Interactive",1997-01-01
550,"Champions of Krynn",1990,"Strategic Simulations","Strategic Simulations",1990-01-01
551,"Change Maker",1993,"Bitmap Brothers","Renegade Software",1993-01-01
552,"Chaos Angels","","","",
553,"Chaos Control","","","",
554,"Chaos Engine, The",1993,"Bitmap Brothers","Renegade Software",1993-01-01
555,"Charlie II",2001,"Wiering Software","Wiering Software",2001-01-01
556,"Charlie the Duck",1996,"Wiering Software","Wiering Software",1996-01-01
557,"Chase on Tom Sawyer's Island, The","","","",
558,"Cheesy Invaders","","","",
559,Chess,1981,"International PC Owners","International PC Owners",1981-01-01
560,Chess88,1984,Unknown,Unknown,1984-01-01
561,"Chessmaster 2000",1986,"Software Toolworks","Software Toolworks",1986-01-01
562,"Chessmaster 3000",1991,"Software Toolworks","Software Toolworks",1991-01-01
563,"Chewy: Esc from F5",1995,"New Generation Software","Play Byte",1995-01-01
564,"Chex Quest",1996,"Digital Café","Digital Café",1996-01-01
565,"Chex Quest 2",1997,"Digital Café","Digital Café",1997-01-01
566,"Chicago 90",1989,"Microïds","Microïds",1989-01-01
567,Chickens,"","","",
568,"Chickens 2","","","",
569,"Chinese Checkers","","","",
570,"Chip 'N Dale Rescue Rangers: The Adventure in Nimnul's Castle",1990,"Riedel Software Productions","Hi-Tech Expressions",1990-01-01
571,"Chip's Challenge",1991,Epyx,Epyx,1991-01-01
572,"Choy-Lee-Fut Kung-Fu Warrior","","","",
573,"Christmas Carnage","","","",
574,"Christmas Matchup","","","",
575,"Christmas Lemmings",1991,"DMA Design",Psygnosis,1991-01-01
576,"Chronicles of the Sword",1996,"Synthetic Dimensions",Psygnosis,1996-01-01
577,Chronomaster,1995,"DreamForge Intertainment","IntraCorp, Capstone Software",1995-01-01
578,"Chrono Quest","","","",
579,"Chuckie Egg",1985,"A&F Software","A&F Software",1985-01-01
580,"Chuck Yeager's Advanced Flight Trainer",1987,"Ned Lerner","Electronic Arts",1987-01-01
581,"Chuck Yeager's Advanced Flight Trainer 2.0",1989,"Electronic Arts","Electronic Arts",1989-01-01
582,"Chuck Yeager's Air Combat",1991,"Brent Iverson","Electronic Arts",1991-01-01
583,"Chub Gam 3D: Director's Cut",1998,ChubGamSoft,ChubGamSoft,1998-01-01
584,"C.I.A. Adventure","","","",
585,"Circuit's Edge",1996,"Westwood Studios",Infocom,1996-01-01
586,"Circus Attractions","","","",
587,"Cisco Heat",1991,Jaleco,"Image Works",1991-01-01
588,"City of Lost Children, The","","","",
589,"Civil War",1983,"International PC Owners","International PC Owners",1983-01-01
590,"Civil War, The",1995,"Empire Interactive","Dagger Interactive Technologies",1995-01-01
591,"Clash of Steel: World War II, Europe 1939-1945","","","",
592,"Classic Concentration","","","",
593,"Classic Text Adventure Masterpieces",1996,Infocom,Infocom,1996-01-01
594,"Climber 5",1987,"","COMPUTE! Publications",1987-01-01
595,"Clive Barker's Nightbreed: The Action Game","","","",
596,"Clive Barker's Nightbreed: The Interactive Movie","","","",
597,"Clockwiser: Time is Running Out",1994,"Team Hoi Games","Rasputin Software",1994-01-01
598,"Cloud Kingdoms","","","",
599,"Clue: Master Detective","","","",
600,"Clue!, The",1994,"neo Software Produktions","Kompart UK",1994-01-01
601,"Clyde's Adventure",1992,"Moonlite Software","Moonlite Software",1992-01-01
602,"Clyde's Revenge",1995,"Moonlite Software","Moonlite Software",1995-01-01
603,Coaster,"","","",
604,"Cobra Mission: Panic in Cobra City",1991,Inos,"Megatech Software",1991-01-01
605,"Code: Europe","","","",
606,"Codename: ICEMAN",1989,"Sierra On-Line","Sierra On-Line",1989-01-01
607,"Cohort: Fighting for Rome","","","",
608,"Cohort II","","","",
609,"Cold War Warfare","","","",
610,"Cold Dreams","","","",
611,"Colonel's Bequest, The",1989,"Sierra On-Line","Sierra On-Line",1989-01-01
612,"Colony 28","","","",
613,"Colony, The",1988,"David Alan Smith",Mindscape,1988-01-01
614,"Colony Wars 2492","","","",
615,Colorado,"","","",
616,"Color Buster","","","",
617,"Colored Lines","","","",
618,"Comanche: Maximum Overkill",1992,NovaLogic,"Softgold Computerspiele",1992-01-01
619,"Comanche: Global Challenge",1993,NovaLogic,"Softgold Computerspiele",1993-01-01
620,"Comanche: Over the Edge",1993,NovaLogic,NovaLogic,1993-01-01
621,"Comanche CD",1994,NovaLogic,NovaLogic,1994-01-01
622,"Comanche 2",1995,NovaLogic,NovaLogic,1995-01-01
623,"Comanche 3",1997,NovaLogic,NovaLogic,1997-01-01
624,"Combat Air Patrol","","","",
625,Combots,1983,"International PC Owners","International PC Owners",1983-01-01
626,"Command & Conquer",1995-09,"Westwood Studios","Virgin Interactive",
627,"Command & Conquer - The Covert Operations",1996,"Westwood Studios","Virgin Interactive",1996-01-01
628,"Command & Conquer: Red Alert",1996-11-22,"Westwood Studios","Virgin Interactive",1996-11-22
629,"Command & Conquer: Red Alert - Counterstrike",1997-04-03,"Westwood Studios","Virgin Interactive",1997-04-03
630,"Command & Conquer: Red Alert (Collectors Pack)",1997,"Westwood Studios","Virgin Interactive",1997-01-01
631,"Command & Conquer: Red Alert (The Domination Pack)",1997,"Westwood Studios","Virgin Interactive",1997-01-01
632,"Command & Conquer: Red Alert - The Aftermath",1997,"Westwood Studios","Virgin Interactive",1997-01-01
633,"Command & Conquer: Red Alert - The Arsenal",1998,"Westwood Studios","Westwood Studios",1998-01-01
634,"Command & Conquer: Worldwide Warfare",1998,"Westwood Studios","Westwood Studios",1998-01-01
635,"Command & Conquer: Theater of War",2001,"Westwood Pacific","EA Games",2001-01-01
636,"Command H.Q.","","","",
637,"Commander Blood",1994,"Cryo Interactive Entertainment","Microfolie's, Mindscape",1994-01-01
638,"Commander Keen - Invasion of the Vorticons",1990-12-14,"id Software","Apogee Software",1990-12-14
639,"Commander Keen - Goodbye, Galaxy!",1991-12-15,"id Software","Apogee Software",1991-12-15
640,"Commander Keen - Aliens Ate My Babysitter!",1991,"id Software",FormGen,1991-01-01
641,Commando,1987,"Quicksilver Software","Data East",1987-01-01
642,"Companions of Xanth",1993,"Michael J. Lindner","Legend Entertainment",1993-01-01
643,"Complete Universal Military Simulator, The","","","",
644,"Computer Circus Maximus","","","",
645,"Computer Diplomacy","","","",
646,"Computer Edition of Risk, The - The World Conquest Game",1989,"Virgin Mastertronic","Virgin Interactive",1989-01-01
647,"Computer Edition of Scrabble Brand Crossword Game, The","","Leisure Games","Virgin Interactive",
648,"Computer Quiz, The","","","",
649,"Computer Underground","","","",
650,"Conan: The Cimmerian","","","",
651,Conflict,"","","",
652,"Conflict: Europe","","","",
653,"Conflict: Korea the First Year 1950-1951","","","",
654,"Conflict: Middle East",1990,"David J Eastman","Virgin Interactive",1990-01-01
655,"Conflict in Vietnam",1986,MicroProse,MicroProse,1986-01-01
656,"Congo Bongo",1984,Sega,Sega,1984-01-01
657,Connectris,"","","",
658,Connex,"","","",
659,"Conquered Kingdoms",1992,"Quantum Quality Productions","Quantum Quality Productions",1992-01-01
660,"Conquered Kingdoms: Scenario Disk#1",1992,"Quantum Quality Productions","Quantum Quality Productions",1992-01-01
661,"Conqueror A.D. 1086","","","",
662,"Conquer the World",1997,MicroProse,MicroProse,1997-01-01
663,Conquest,1983,"Windmill Software","Windmill Software",1983-01-01
664,"Conquest Earth","","","",
665,"Conquest of Japan","","","",
666,"Conquest of the New World",1996,"Quicksilver Software","Interplay Entertainment",1996-01-01
667,"Conquest of the New World: Deluxe Edition",1997,"Quicksilver Software","Interplay Entertainment",1997-01-01
668,"Conquests of Camelot: The Search for the Grail",1989,"Sierra On-Line","Sierra On-Line",1989-01-01
669,"Conquests of the Longbow: The Legend of Robin Hood",1991,"Sierra On-Line","Sierra On-Line",1991-01-01
670,"Cosmic Crusader",1982,"Michael Abrash",Funtastic,1982-01-01
671,"Construction Bob","","","",
672,Constructor,1997,"System 3 Software","Acclaim Entertainment",1997-01-01
673,Contra,1988,Konami,Konami,1988-01-01
674,"Contraption Zack","","","",
675,"Cool Croc Twins","","","",
676,"Cool Spot",1994,"Virgin Interactive","Virgin Interactive",1994-01-01
677,"Cool World",1992,"Twilight Software","Ocean Software",1992-01-01
678,"Corncob Deluxe",1992,"Pie in the Sky Software","Pie in the Sky Software",1992-01-01
679,"Corporate Raider: The Pirate of Wall St.","","","",
680,Corporation,1991,"Core Design, Dementia Productions","Virgin Games",1991-01-01
681,"Corridor 7: Alien Invasion",1994,"Capstone Software","Intracorp, GameTek",1994-01-01
682,Corruption,1988,"Magnetic Scrolls","Rainbird Software",1988-01-01
683,"Cosmo's Cosmic Adventure: Forbidden Planet",1992,"Todd Replogle","Apogee Software",1992-01-01
684,Countdown,1990,"Access Software","Access Software",1990-01-01
